2021-09-10 09:21:07.896 INFO  [48454] Logger 0 Initialized
2021-09-10 09:22:18.040 INFO  [48904] Logger 0 Initialized
2021-09-10 09:28:55.172 INFO  [51536] Logger 0 Initialized
2021-09-10 09:30:14.280 INFO  [52429] Logger 0 Initialized
2021-09-10 09:32:34.769 INFO  [53385] Logger 0 Initialized
2021-09-10 09:36:33.560 INFO  [54825] Logger 0 Initialized
2021-09-10 09:46:22.444 INFO  [60685] Logger 0 Initialized
2021-09-10 09:52:12.253 INFO  [62782] Logger 0 Initialized
2021-09-10 09:53:18.576 INFO  [63502] Logger 0 Initialized
2021-09-10 09:56:13.338 INFO  [65174] Logger 0 Initialized
2021-09-10 09:58:22.878 INFO  [66089] Logger 0 Initialized
2021-09-10 09:59:42.455 INFO  [66740] Logger 0 Initialized
2021-09-10 09:59:44.032 INFO  [66784] Logger 0 Initialized
2021-09-10 09:59:45.299 INFO  [66798] Logger 0 Initialized
2021-09-10 10:00:05.479 INFO  [67017] Logger 0 Initialized
2021-09-10 10:03:23.807 INFO  [68718] Logger 0 Initialized
2021-09-10 10:05:37.372 INFO  [70098] Logger 0 Initialized
2021-09-10 10:50:08.277 INFO  [83145] Logger 0 Initialized
2021-09-10 10:51:36.930 INFO  [84194] Logger 0 Initialized
2021-09-10 10:53:08.295 INFO  [85292] Logger 0 Initialized
2021-09-10 10:54:42.097 INFO  [86093] Logger 0 Initialized
2021-09-10 10:59:54.168 INFO  [88448] Logger 0 Initialized
2021-09-10 11:13:41.192 INFO  [95208] Logger 0 Initialized
2021-09-10 11:25:36.846 INFO  [101876] Logger 0 Initialized
2021-09-10 11:25:51.924 INFO  [102086] Logger 0 Initialized
2021-09-10 11:28:28.955 INFO  [103167] Logger 0 Initialized
2021-09-10 11:29:42.951 INFO  [103844] Logger 0 Initialized
2021-09-10 11:30:18.922 INFO  [104194] Logger 0 Initialized
2021-09-10 11:30:36.898 INFO  [104476] Logger 0 Initialized
2021-09-10 11:32:10.172 INFO  [105228] Logger 0 Initialized
2021-09-10 11:32:39.766 INFO  [105486] Logger 0 Initialized
2021-09-10 11:33:08.337 INFO  [105852] Logger 0 Initialized
2021-09-10 11:33:25.195 INFO  [105990] Logger 0 Initialized
2021-09-10 11:37:18.657 INFO  [108185] Logger 0 Initialized
2021-09-10 11:37:51.386 INFO  [108375] Logger 0 Initialized
2021-09-10 11:42:34.358 INFO  [110362] Logger 0 Initialized
2021-09-10 11:44:34.097 INFO  [111362] Logger 0 Initialized
2021-09-10 11:45:24.449 INFO  [111750] Logger 0 Initialized
2021-09-10 11:46:57.762 INFO  [112869] Logger 0 Initialized
2021-09-10 11:48:44.670 INFO  [113870] Logger 0 Initialized
2021-09-10 11:49:42.104 INFO  [114585] Logger 0 Initialized
2021-09-10 11:50:12.612 INFO  [114935] Logger 0 Initialized
2021-09-10 11:54:08.939 INFO  [116969] Logger 0 Initialized
2021-09-10 11:58:26.193 INFO  [118603] Logger 0 Initialized
2021-09-10 11:59:02.179 INFO  [118886] Logger 0 Initialized
2021-09-10 12:09:15.794 INFO  [122773] Logger 0 Initialized
2021-09-10 12:09:22.244 INFO  [122922] Logger 0 Initialized
2021-09-10 12:11:46.368 INFO  [124016] Logger 0 Initialized
2021-09-10 12:15:10.122 INFO  [125992] Logger 0 Initialized
2021-09-10 14:54:36.848 INFO  [19110] Logger 0 Initialized
2021-09-10 14:55:36.302 INFO  [19557] Logger 0 Initialized
2021-09-10 15:01:17.598 INFO  [23152] Logger 0 Initialized
2021-09-10 15:02:38.487 INFO  [24185] Logger 0 Initialized
2021-09-10 15:03:29.005 INFO  [24614] Logger 0 Initialized
2021-09-10 15:03:39.773 INFO  [24817] Logger 0 Initialized
2021-09-10 15:03:52.515 INFO  [24958] Logger 0 Initialized
2021-09-10 15:04:10.333 INFO  [25240] Logger 0 Initialized
2021-09-10 15:04:30.064 INFO  [25597] Logger 0 Initialized
2021-09-10 15:07:22.868 INFO  [26994] Logger 0 Initialized
2021-09-10 15:08:03.574 INFO  [27403] Logger 0 Initialized
2021-09-10 15:08:18.490 INFO  [27666] Logger 0 Initialized
2021-09-10 15:08:47.167 INFO  [27918] Logger 0 Initialized
2021-09-10 15:08:59.717 INFO  [28160] Logger 0 Initialized
2021-09-10 15:09:10.713 INFO  [28349] Logger 0 Initialized
2021-09-10 15:09:21.214 INFO  [28570] Logger 0 Initialized
2021-09-10 15:13:21.322 INFO  [30570] Logger 0 Initialized
2021-09-10 15:18:07.860 INFO  [32505] Logger 0 Initialized
2021-09-13 14:17:54.198 INFO  [189166] Logger 0 Initialized
2021-09-13 14:44:10.307 INFO  [200508] Logger 0 Initialized
2021-09-13 14:49:41.287 INFO  [202643] Logger 0 Initialized
2021-09-13 14:50:38.095 INFO  [203079] Logger 0 Initialized
2021-09-13 14:53:20.186 INFO  [204523] Logger 0 Initialized
2021-09-13 14:53:35.753 INFO  [204661] Logger 0 Initialized
